title,appeared,type,lastActivity,repos,country
Carpet,1997,pl,1997,0,Italy
Molfile,1979,textDataFormat,1979,0,United States
Google Apps Script,2009,pl,2011,0,United States
erg,2022,pl,2022,0,China and Japan
Flix,2016,pl,2023,0,World
Kaggle,2010,application,2022,0,Unknown
Linotte,2005,pl,2022,0,France
Rpm,1997,packageManager,2022,0,World
I-expressions,2003,dataNotation,2003,0,Sweden
Speedcoding,1953,pl,2006,0,World
Wasp,2019,pl,2022,0,World
ALGO,1958,pl,2004,0,World
OpenNN,2003,library,2022,0,World
SmallBASIC,2001,pl,2022,0,World
bpkg-pm,2017,packageManager,2022,0,Various
crush,2020,pl,2022,0,Sweden
spry,2015,pl,2022,0,World
Reko,2007,decompiler,2022,0,Sweden
Query by Example,1969,pl,2005,0,United States
network embedded systems C,2002,pl,2022,468,United States
HiveQL,2011,queryLanguage,2017,143,World
Dak,2022,pl,2022,0,World
comby,2019,grammarLanguage,2022,0,United States
XC,2005,pl,2015,444,World
X Font Directory Index,1991,application,2018,0,World
XCompose,2006,application,2016,0,World
BlooP,1979,esolang,2004,0,United States
Violent ES,2022,pl,2022,0,Unknown
YAWL,2006,pl,2022,0,World
Roc,2020,pl,2023,0,World
Newick format,1986,textDataFormat,2006,0,United States and Canada
IBM 1620,1959,assembly,2002,0,World
leo-editor,2013,editor,2022,0,United States and Canada
Genshi,2006,template,2006,115,Sweden and Japan and United States and France and Germany and Switzerland
Xgboost,2014,binaryDataFormat,2016,0,World
PDP-11,1970,computingMachine,1975,0,United States
ELLA,1979,pl,2008,0,United Kingdom
Guix Workflow Language,2017,pl,2017,0,United States
tiledb,2017,database,2022,0,World
haste,2014,pl,2022,0,Sweden
Ternary numeral system,2001,notation,2001,0,World
Cyber,2022,pl,2023,0,World
EEX,2012,template,2018,0,Various
JSX,2013,template,2022,0,United States
MACRO-10,1978,pl,2009,0,United States
snakemake,2012,pl,2012,0,World
Flow9,2010,pl,2022,0,Unknown
femtolisp,2008,pl,2022,0,United States
Swallow,2021,pl,2022,0,World
Glicol,2020,musicalNotation,2022,0,Norway
Spline Font Database,2004,application,2018,0,World
KRL,1976,pl,2002,30,United States
Q#,2017,pl,2017,4,United States
roy,2011,pl,2022,0,World
Sweave,2002,template,2008,0,World
Newspeak,2006,pl,2017,0,United States
NS Basic,1994,pl,2018,0,Canada
astroml,2012,library,2022,0,United States
kona,2010,pl,2022,0,United States
Lux,2014,pl,2022,0,Dominican Republic
GNU nano,2000,editor,2022,0,United States
3DS,1990,binaryDataFormat,2009,0,World
CFEngine,1993,application,2022,0,Norway
Plus,1976,pl,2010,0,Canada
exkited,2018,template,2020,0,United States
Module Management System,2005,pl,2005,1322,Australia
turnstile,2017,grammarLanguage,2017,0,World
lobster,2011,pl,2022,0,United States
XML Binding Language,2000,xmlFormat,2004,0,World
Superjson,2014,dataNotation,2022,0,World
clash,2015,pl,2023,0,The Netherlands
Punycode,2003,characterEncoding,2003,0,United States
1C Enterprise Script,2002,pl,2018,274,Russia
tht,2017,pl,2022,0,World
monte,2014,pl,2022,0,United States
dslx,2020,pl,2020,0,United States
PLZ,1979,pl,1979,0,United States
fetlang,2017,esolang,2022,0,United States
General Purpose Simulation System,1960,pl,2004,0,United States
CLISP,1973,pl,2004,0,United States
Earl Grey,2014,pl,2017,0,Canada
Rc,1989,pl,2003,0,United States
F,1996,pl,2004,0,United States
rason,2015,pl,2022,0,United States
Berry,2018,pl,2022,0,China
Ć,2011,pl,2022,0,Unknown
Xbasic,1988,pl,2006,0,World
Markus,2020,queryLanguage,2021,0,World
Mesa,1970,pl,2001,0,United States
DNS over HTTPS,2018,protocol,2018,0,United States
TAP,1988,protocol,2022,0,World
Sinclair BASIC,1979,pl,2003,0,World
PLANNER,1969,pl,2002,0,United States
HP BASIC for OpenVMS,1982,pl,2005,0,United States
SuperBASIC,1984,pl,2004,0,World
Asterisk,1999,application,2004,0,United States
MurmurHash,2008,hashFunction,2008,0,United States
Differential Datalog,2018,pl,2022,0,United States
XPages,2008,application,2018,33,World
Gentoo Ebuild,1999,pl,2018,0,United States
Vale,2017,assembly,2022,0,World
MIRC scripting language,1995,pl,2022,0,Great Britain
HXML,2009,application,2018,0,Unknown
gentee,2018,pl,2022,0,Russia
PROMAL,1986,pl,2004,0,United States
Executable JSON,2013,pl,2013,0,United Kingdom
relax,2000,grammarLanguage,2000,0,Japan
Rescript,2020,pl,2022,54,World
Stackless Python,1998,interpreter,2005,0,World
kasaya,2018,application,2020,0,Sri Lanka
dex,2018,pl,2022,0,United States
MASM,1981,pl,2022,0,United States
miniML_error,2013,plzoo,2022,0,Slovenia
lem-editor,2015,editor,2022,0,Japan
harlan,2011,pl,2022,0,United States
sile,2012,textMarkup,2022,0,World
FOCUS,1997,pl,2004,0,United States
AsciiMath,2014,textMarkup,2022,0,World
spider,2014,pl,2017,0,Unknown
XUML,2002,pl,2006,0,World
Z-machine,1980,pl,2001,0,World
Interlisp,1966,pl,2003,0,United States
NestedText,2020,dataNotation,2022,0,United States
JAL compiler,2000,compiler,2023,0,The Netherlands
Frost,2017,pl,2022,0,Unknown
Cali-Lang,2015,pl,2021,0,Unknown
Em,2020,textMarkup,2020,0,Unknown
FAUST,2002,pl,2015,22,France
Template Attribute Language,2007,template,2007,0,World
GLBasic,2003,pl,2022,0,Unknown
EXEC,1966,pl,2007,0,United States
Zonnon,2003,pl,2013,0,World
reflex-framework,2015,framework,2022,0,United States
tea,2021,packageManager,2022,0,United States
Knitr,2012,template,2013,0,United States
Typed Lua,2019,pl,2022,0,World
hobbes,2017,pl,2022,0,United States
Ch computer programming,2001,pl,2022,0,United States
WML,1998,xmlFormat,2002,0,World
Hocon,2011,dataNotation,2015,0,United States
CIR,2020,ir,2022,0,United States
Parrot BASIC,2009,pl,2016,0,United States
circle-lang,2019,pl,2022,0,United States
cityhash-hash-function,2011,hashFunction,2022,0,United States
Google Sheets,2006,application,2014,0,United States
Autocode,1954,pl,2005,0,England
Smartsheet,2006,application,2006,0,World
lispyscript,2012,pl,2022,0,India
UnrealScript,1998,pl,2018,9501,World
Grammatical Framework,1998,grammarLanguage,2018,37,France
Parser 3,1997,pl,2022,0,Russia
BARE,2020,idl,2020,0,Various
Hierarchical File System,1985,filesystem,2002,0,United States
ferret,2017,pl,2022,0,North Cyprus
score,2013,pl,2022,0,World
International System of Quantities,2009,schema,2009,0,France
XSD,2001,dataValidationLanguage,2001,0,World
Assembly CLI,2005,library,2008,0,United States
COMAL,1973,pl,2003,0,Denmark
AL,2016,pl,2022,0,World
Mako,2006,template,2022,4341,United States
Rapira,1987,pl,2022,0,Russia
Simple Actor Language System and Architecture,2001,pl,2005,0,World
Adept,2018,pl,2022,0,Unknown
Frink,2001,pl,2022,0,United States
Nios II,2000,isa,2005,0,World
dub-pm,2012,packageManager,2022,0,United States
atomspace,2008,application,2022,0,Various
bee,2019,pl,2022,0,United States
Object Linking and Embedding,1990,protocol,1990,0,United States
NGS,2013,pl,2022,0,Israel and Portugal
.QL,2007,pl,2007,0,England
fo,2018,pl,2022,0,United States
BitBake,2004,pl,2008,1040,Various
Noweb,1989,textMarkup,2022,0,United States
Gherkin,2008,pl,2017,4844,United States
flagship,1986,pl,2022,0,Germany
Swagger,2011,framework,2022,0,World
Scroll,2020,textMarkup,2022,0,World
LUCID,1976,pl,2005,0,Canada and United States
Cayenne,1998,pl,2006,0,Sweden
Fully Automated Compiling Technique,1959,pl,2008,0,United States
Schema.org,2011,dataValidationLanguage,2022,0,World
Pyret,2012,pl,2022,0,United States
curv,2016,pl,2022,0,Canada
Confluence,2004,textMarkup,2022,0,Australia
XBRL,2003,xmlFormat,2003,0,World
mpl,1988,pl,1988,0,United States
SATySFi,2015,textMarkup,2022,0,World
Sam Coupé,1989,pl,2003,0,World
Mond,2014,pl,2022,0,Canada
Handlebars,2010,template,2022,7598,Austria and China
ObjDump,1991,application,2014,0,United States
ApacheConf,1995,application,2016,68565,United States
tcsh,1983,pl,2018,0,United States
Orc,2004,pl,2007,0,United States
Caltech Intermediate Form,1980,pl,2006,0,United States
Recfiles,1994,dataNotation,1994,0,United States
ddfql,2016,queryLanguage,2016,0,Various
Fast Healthcare Interoperability Resources,2011,standard,2017,0,United States
BASIC Stamp,1990,pl,2004,0,United States
NuGet,2010,packageManager,2022,0,United States
Gerbil Scheme,2016,pl,2022,0,Unknown
basic calculator,1975,pl,2004,0,United States
Revolution,1993,pl,2022,0,United Kingdom
GN,2015,application,2022,0,Unknown
Subleq,2009,isa,2022,0,World
Qore,2006,pl,2022,0,Czech Republic
Avail,2010,pl,2022,0,United States
neeilang,2019,pl,2022,0,Unknown
hilvl,2015,pl,2021,0,Unknown
PowerQuery M,2015,queryLanguage,2015,0,World
Ren,2013,dataNotation,2014,0,United States
Pomsky,2022,pl,2023,0,Germany
Dale,2013,pl,2022,0,Unknown
BASIC Programming,1979,pl,2003,0,United States
Wyvern,2012,pl,2022,0,World
Connection Machine,1990,pl,2002,0,United States
Extended file system,1992,filesystem,2004,0,United States
hamler,2019,pl,2022,0,China
xodio,2015,visual,2022,0,World
kitlang,2018,pl,2022,0,United States
Passerine,2021,pl,2022,0,United States
Integer BASIC,1977,pl,2003,0,United States
AMOS,1990,pl,2001,0,World
Z++,1991,pl,2002,0,World
CFScript,1999,pl,2006,0,World
SdlBasic,2002,pl,2007,0,World
CSVw,2014,dataValidationLanguage,2022,0,Various
Yet Another Scripting Language,2017,pl,2022,0,World
Aheui,2012,esolang,2022,0,Korea
Formatted Table,1990,dataNotation,1990,0,World
holyc,2005,pl,2005,9,United States
hashlink,2015,bytecode,2022,0,Various
Redcode,1984,pl,2003,109,United States
JavaFX Script,2005,pl,2007,0,World
Etoys,1996,pl,2006,0,United States
Caramel,2020,pl,2022,0,Sweden
SFC,1993,pl,2008,0,World
neut,2018,pl,2022,0,Unknown
International Chemical Identifier,2005,textDataFormat,2005,0,United Kingdom
Memex,1945,computingMachine,1959,0,United States
vdscript,2000,pl,2013,0,United States
SQF,2002,pl,2018,609,World
txr,2009,pl,2009,0,World
Zimpl,2004,pl,2004,37,World
Genero Business Development Language,2010,pl,2010,14,United States
firrtl,2015,ir,2022,0,United States and China
Snap!,2011,pl,2011,0,World
Semantic Patch Language,2006,grammarLanguage,2022,120,World
CORAL,1964,pl,2002,0,United Kingdom
SISAL,1983,pl,2002,0,United Kingdom
bloom,2010,pl,2022,0,United States
APT Debian,1998,packageManager,1998,0,United State
djangoql,2017,pl,2022,0,Russia and Ukraine amd Lithuania and Serbia
mochi,2014,pl,2022,0,Japan
General feature format,2006,textDataFormat,2006,0,United Kingdom and United States
koara,2016,textMarkup,2018,0,Belgium
fe,2019,pl,2022,0,Unknown
Oxyl,2019,pl,2019,0,South Africa
RELAX NG,2001,grammarLanguage,2022,0,Japan
Cirru,2012,pl,2015,288,China
Nymph,2017,pl,2022,0,United States
Ubercode,2005,pl,2005,0,World
Jsonnet,2014,dataNotation,2022,190,United States
Boron,2009,pl,2009,0,World
ballerina-central-pm,2015,packageManager,2015,0,United States
Atmel AVR instruction set,1996,isa,2005,0,United States
S-PLUS,1988,pl,2006,0,World
Tuple space,1988,pl,2005,0,World
Michigan Algorithm Decoder,1959,pl,2002,0,United States
WDDX,1998,pl,2004,0,World
Liberty BASIC,1992,pl,2002,0,United States
Spec Sharp,2004,pl,2005,0,World
COWSEL,1964,pl,2002,0,United Kingdom
Lisp Machine Lisp,1974,pl,2002,0,United States
muon,2019,pl,2022,0,Unknown
F-Script,2009,pl,2022,0,United States
Catala,2019,pl,2022,0,Various
TELOS,1990,pl,2004,0,World
Egison,2013,pl,2022,0,Japan
Lustre,1993,pl,2005,0,France and United States
GNU Data Language,2004,idl,2005,0,Various
NESL,1993,pl,2004,0,United States
TextMate Language,2004,grammarLanguage,2004,0,World
OCL,1997,pl,2008,0,United States
Grace,2010,pl,2017,15,United States
Adobe Font Metrics,1987,application,2018,0,World
Crema,2014,pl,2015,0,United States
Mouse,1970,pl,2006,0,United States
NWScript,2004,pl,2004,1,World
p4p,2010,pl,2022,0,United States
Language Server Index Format,2019,jsonFormat,2022,0,United States
Hare,2020,pl,2022,0,Various
Ligo,2019,contractLanguage,2022,0,France
HAGGIS,2010,pl,2016,0,Scotland
Bucardo,2009,application,2023,0,United States
Flavors,1980,pl,2004,0,United States
noulith,2022,pl,2023,0,United States
Livr,2012,dataValidationLanguage,2022,0,United States
QuakeC,1996,pl,2001,0,United States
Amiga E,1993,pl,2002,0,World
JSON Query Language,2019,queryLanguage,2022,0,Poland
BIND,2000,application,2000,0,United States
Potion,2007,pl,2023,0,United States and Germany and The Netherlands
spiral,2017,pl,2022,0,World
Adventure Game Studio Script,2001,pl,2018,674,World
C shell,1978,pl,2002,0,United States
Charity,1992,pl,2005,10,Canada
MIMIC,1964,pl,2006,0,United States
Pawn,1998,pl,1998,330,The Netherlands
dlvm,2017,ir,2022,0,United States
epsilon,1967,pl,1967,0,Canada
lav-format,2004,textDataFormat,2004,0,United States
GraphQL Schema Definition Language,2018,idl,2018,0,Various
noisecraft,2021,pl,2022,0,Canada
visdown,2016,textMarkup,2022,0,World
Edge Side Includes,2001,pl,2005,0,United States and New Zealand
raptorjit,2009,pl,2022,0,Unknown
Marp,2018,textMarkup,2023,0,World
eff,2012,pl,2022,0,Slovenia
Linda,1986,pl,2004,0,United States
Yum,1999,packageManager,2011,0,World
XML Metadata Interchange,2015,xmlFormat,2015,0,World
CMS-2,1968,pl,2004,0,United States
Djot,2022,textMarkup,2022,0,United States
OPS5,1977,pl,2004,0,United States
Scribe,1980,pl,2007,0,United States
humanhash-hash-function,2011,hashFunction,2022,0,United States
Bioconductor,2001,packageManager,2022,0,United States
ark-lang,2014,pl,2022,0,World
jayfor,2014,pl,2022,0,Denmark and New Zealand and United Kingdom
RDF Schema,1998,grammarLanguage,1998,0,United States
DAX,2009,queryLanguage,2012,0,World
Z,2012,pl,2022,0,World
Kit,2012,template,2018,67,United States
PeopleCode,2008,pl,2008,0,World
JS++,2011,pl,2011,0,United Kingdom
PILOT,1962,pl,2002,0,United States
SCRIPT markup,1999,pl,2006,0,World
Yacas,1999,pl,2015,0,World
Q,1991,pl,2008,0,Germany
Kid templating language,1999,template,2006,0,Germany and United States
REDUCE,2011,pl,2022,0,United States
Flowgorithm,2014,visual,2022,0,Italy
Pact,2016,contractLanguage,2023,0,United States
Acorn Atom,1980,pl,2003,0,World
Sibelius,1998,pl,2018,0,World
Vale,2020,pl,2022,0,World
tsquery,2018,queryLanguage,2022,0,World
ink-lang,2019,pl,2022,0,United States
SIMSCRIPT,1963,pl,2004,0,United States
POP-2,1967,pl,2004,0,United Kingdom
NixOS,2003,os,2003,0,The Netherlands
sixten,2014,pl,2022,0,World
MACRO,1979,pl,2006,0,United States
oden,2016,pl,2022,0,Sweden
Family BASIC,1984,pl,2005,0,Japan
abs,2018,pl,2022,0,United Arab Emirates
Groovy Server Pages,2008,template,2018,0,United States and Spain and France
Fun,2010,pl,2013,0,United States
Uniform eXchange Format,2022,dataNotation,2022,0,United Kingdom
HMMM,2006,assembly,2006,0,United States
VisualWorks,1985,pl,2004,0,World
05AB1E,2015,esolang,2022,0,World
Plankalkul,1948,pl,2002,0,Germany
WATFIV,1968,pl,2004,0,World
Cadence SKILL,1990,pl,2006,0,United States
MiniZinc,2012,pl,2022,0,Australia
Parallax Propeller,2006,isa,2006,0,United States
Jank,2015,pl,2022,0,United States
MUSIC/SP,1972,pl,2003,0,Canada
MXF,2004,binaryDataFormat,2004,0,Switzerland and United States
Watcom,1988,pl,2003,0,World
JSLT,2017,pl,2022,0,Norway
Oak,1991,pl,2008,0,United States
Berkeley DB,1994,library,1994,0,United States
hacspec,2018,pl,2022,0,Germany
manool,2018,pl,2022,0,Colombia
Judoscript,2001,pl,2007,0,Unknown
parasail,2009,pl,2012,0,United States
ArchieML,2015,dataNotation,2015,0,United States
Finite State Language,2016,pl,2016,0,Various
Soy,2008,template,2008,0,World
Airtable,2012,application,2022,0,World
Deb file format,2003,binaryDataFormat,2003,0,United States
GraphML,2001,xmlFormat,2006,0,Various
Umka,2020,pl,2022,0,World
pie-lang,2018,pl,2022,0,Denmark
Go!,2003,pl,2003,0,United Kingdom and United States
StarLogo,2008,pl,2011,0,World
Morfik,2000,pl,2010,0,Australia
Numbers,2007,application,2007,0,United States
astro,2016,pl,2022,4,Nigeria
multicodec,2015,standard,2022,0,Various
AmigaBASIC,1985,pl,2005,0,World
XPL,1967,pl,2004,0,World
MSX BASIC,1984,pl,2003,0,United States
Facelets,2005,template,2008,0,United States
ToonTalk,1995,pl,2022,0,World
TOM object-oriented,1999,pl,2007,0,World
RSS,1999,protocol,1999,0,World
Note,2012,dataNotation,2017,0,United States
CHIP-8,1970,pl,2004,0,United States
Property Specification Language,2004,pl,2004,0,United States
HAL/S,1972,assembly,2003,0,United States
Thue,2004,esolang,2004,0,World
GEL Genius,1997,pl,2009,0,United States
silk,2019,pl,2022,0,World
Augeas,2007,pl,2022,293,United States
Claro,2021,pl,2022,0,United States
Vely,2022,pl,2022,0,World
Business Basic,1970,pl,2004,0,United States
PBASIC,1988,pl,2005,0,United States
KRC,1981,pl,2002,0,United Kingdom
QUEL,1976,queryLanguage,2003,0,United States
Casio BASIC,2006,pl,2006,0,Japan
TRAC,1964,pl,2003,0,United States
Vvvv,1998,application,2022,0,World
Structured text,2019,pl,2019,0,World
BLAKE,2012,hashFunction,2012,0,Switzerland and Malaysia and Germany
partiql,2019,queryLanguage,2022,0,United States
OpenType Feature File,1996,application,2018,0,United States
Fjölnir,1986,pl,2005,0,Iceland
Nice,2006,pl,2006,0,France
z80,1976,assembly,1976,0,World
JSON Graph Spec,2013,jsonFormat,2022,0,United States
owen-lang,2019,pl,2022,0,Denmark
Zot,2015,pl,2017,0,World
Sublime Syntax Test Lang,2008,grammarLanguage,2008,0,World
verifpal,2019,pl,2022,0,World
StruQL,1999,queryLanguage,1999,0,World
Yedalog,2015,queryLanguage,2015,0,World
Coco,2010,pl,2014,0,Japan
pikelet,2017,pl,2022,0,Australia
forest-lang,2017,pl,2022,0,New Zealand
k-framework,2013,grammarLanguage,2022,0,Various
Standard Portable Intermediate Representation,2014,ir,2014,0,World
scribble,1997,pl,2022,0,World
Sketchpad,1962,pl,1963,0,World
Newsqueak,1990,pl,2009,0,United States
hazel,2016,pl,2022,0,United States
Li-Chen Wang,1976,pl,2002,0,United States
Janus,1982,pl,2016,0,United States
NeXML format,2007,xmlFormat,2022,0,The Netherlands and United States and Canada and India
Basic-256,2007,pl,2014,0,United States
XOTcl,2000,pl,2004,0,World
JSL,1989,pl,1989,0,United States
[x]it!,2022,dataNotation,2022,0,World
Metalang99,2021,pl,2022,0,Kazakhstan
Hodor,2015,esolang,2022,0,United States
popr,2012,pl,2022,0,United States
Wavefront Material,1988,application,2017,0,World
Alma,2014,pl,2021,0,Sweden
IBM i Control Language,1993,pl,2014,0,World
Battlestar,2014,pl,2022,0,Norway
kai,2016,pl,2020,0,The Netherlands
Toi,2015,pl,2021,0,World
BANCStar,1996,pl,2007,0,United States
BuddyScript,2002,pl,2009,0,United States
latino,2015,pl,2022,0,Mexico
fizz,2017,pl,2017,0,United States
BALGOL,1959,pl,1959,0,World
Linux Kernel Module,1996,application,1996,0,United States
LOLA,1991,pl,1991,0,Germany
net-format,2006,textDataFormat,2006,0,United States
BASIC-PLUS,1975,pl,2004,0,United States
VSXu,2004,visual,2022,0,World
lemon,2017,pl,2022,0,Singapore
Lucidchart,2008,application,2022,0,United States
Information Processing Language,1954,pl,2003,0,United States
Hush,2021,pl,2022,0,Brazil
co-dfns,2012,pl,2022,0,United States
Strongtalk,1994,pl,2006,0,United States
Joule,1996,pl,2004,0,United States
Euler,1965,pl,2004,0,United States and Switzerland
RubyGems,2018,packageManager,2022,0,World
MultiDimensional eXpressions,1997,queryLanguage,1997,0,United States
httplang,2015,pl,2021,0,United States and Kazakhstan
VisSim,1989,pl,2005,0,World
IBM POWER Instruction Set Architecture,1998,isa,2017,0,United States
ldpl,2019,pl,2022,0,Unknown
pointless,2020,pl,2022,0,United States
JSON Lines,2013,dataNotation,2022,0,Canada
FaCT,2017,pl,2022,0,United States and Germany and France and Spain
MDL,1971,pl,2004,0,United States
zenscript,2014,pl,2022,8,World
Gödel (Goedel),1992,pl,2004,0,United Kingdom
parenthetic,2012,esolang,2022,0,Unknown
cor,2016,pl,2022,0,United States
OEM,1995,schema,1995,0,United States
UCG,2017,dataNotation,2022,0,World
Invisible XML,2020,grammarLanguage,2022,0,The Netherlands
Xidoc,2021,textMarkup,2022,0,Czech Republic
Project Mentat,2016,queryLanguage,2022,0,United States
Velocity Template Language,2000,template,2000,4,World
Conceptual,2019,pl,2021,0,Unknown
Aime,2013,pl,2013,0,Unknown
GAML,1991,pl,1991,3,France
Bro,1994,pl,2022,149,United States
myia,2017,pl,2022,0,Canada
YARV,2007,vm,2007,0,World
ASDF,2015,pl,2022,0,United States
Geany,2005,editor,2022,0,Various
Algebraic modeling language,1980,pl,2007,0,World
Mangle,2022,pl,2022,0,World
multiaddr,2014,schema,2022,0,Various
MyBB,2002,pl,2011,0,Australia
RAPID,1994,pl,2010,0,World
FRACTRAN,1996,esolang,2007,0,United Kingdom
HP Time-Shared BASIC,1969,pl,2005,0,United States
Coco/R,1990,grammarLanguage,2004,0,Austria
NELIAC,1958,pl,2004,0,United States
psyche-c,2016,compiler,2022,0,Brazil
RTL/2,1972,pl,2010,0,World
Zope,1999,application,1999,0,World
STOS BASIC,1988,pl,2005,0,World
Sibilant,2010,pl,2020,0,United States
Function block diagram,2001,pl,2001,0,World
OpenEXR,1999,binaryDataFormat,1999,0,United States
Gwion,2016,pl,2022,0,The Netherlands and United States and Turkey and France
BPML,2002,pl,2006,0,World
micro-mitten,2020,pl,2022,0,United Kingdom
Lil,2022,pl,2023,0,United States
JSON lambda,2017,queryLanguage,2022,0,England and Canada
fleck,2019,pl,2022,0,United States
TriG syntax,2007,dataNotation,2007,0,World
cat,2016,pl,2022,0,Canada
DataWeave,2014,pl,2017,9,Argentina
Easytrieve,1969,pl,2009,0,United States
Lite-C,2007,pl,2007,0,Germany
dyvil,2014,pl,2022,0,Germany
Draco,1987,pl,2004,0,United States
File Oriented Interpretive Language,1967,pl,2004,0,United States
M2001,2001,pl,2004,0,United States
Zimbu,2009,pl,2022,0,World
Promela,1997,pl,1997,21,United States
Z-flat,2021,pl,2021,0,World
Incipit,2021,textMarkup,2021,0,Brazil
Mscgen,2016,textMarkup,2016,0,United Kingdom
Picat,2012,pl,2022,0,World
Explorer,2020,visual,2020,0,World
orca-pl,2018,esolang,2022,0,Unknown
CBOR,2013,binaryDataFormat,2022,0,Germany and United States
Text Adventure Development System,1988,application,2022,0,World
A#,2004,pl,2005,0,United States
topshell,2018,pl,2022,0,World
Textadept,2007,editor,2023,0,World
AIMMS,1993,pl,2011,0,World
LinearML,2010,pl,2014,0,United States
Cone,2017,pl,2022,0,Australia and Belgium and France and Sweden and Indonesia
Boomerang Decompiler,2002,decompiler,2022,0,Australia
N-Triples,2014,dataNotation,2014,0,United States
COMIT,1957,pl,2004,0,United States
Basic4ppc,2005,pl,2009,0,Israel
hakaru,2014,pl,2022,0,United States
Rouge,2012,pl,2021,12,World
cuneiform,2015,pl,2022,0,European Union
World of Warcraft Addon Data,2012,application,2016,0,World
tao3d,2003,pl,2022,0,World
Caché ObjectScript,1997,pl,2005,0,United States
elena,2013,pl,2019,0,Germany
Sophia,2018,contractLanguage,2022,0,World
Document Structure Description,2000,xmlFormat,2000,0,United States and Denmark
Breccia,2019,textMarkup,2021,0,Canada
Atomese,2007,pl,2007,0,Various
Jevko,2021,dataNotation,2021,0,Poland
mint,2018,pl,2022,0,Poland and Hungary and United States
Goal,2022,pl,2022,0,World
Manchester syntax,2006,dataNotation,2006,0,United Kingdom
Maude,1990,pl,1990,0,Spain and United States
WMLScript,1998,pl,2011,0,World
april,2017,pl,2022,0,World
plam,2017,pl,2022,0,Croatia
POPLOG,1992,pl,2002,0,United Kingdom
Quicken Interchange Format,2000,textDataFormat,2000,0,United States
quicklisp-pm,2010,packageManager,2022,0,United States
Executive Systems Problem Oriented Language,1967,pl,2004,0,United States
Color BASIC,1980,pl,2005,0,United States
QtScript,2008,pl,2008,0,World
Interchange File Format,1985,binaryDataFormat,1985,0,United States
Bython,2016,pl,2022,0,Norway
Tao,2020,pl,2022,0,World
HuJSON,2019,dataNotation,2022,0,Various
Kal,2012,pl,2014,0,United States
Visual Objects,1994,pl,2012,0,World
THEOS,1977,pl,1977,0,World
titan,2017,pl,2022,0,World
STON,2012,application,2022,0,World
bamboo,2016,pl,2022,0,World
Wu,2018,pl,2022,0,World
LC-3,2003,pl,2007,0,United States
mirth,2019,pl,2022,0,Switzerland and United States
dedukti,2009,pl,2022,0,France
Uniface,1994,pl,2005,0,World
tangledown,2011,template,2022,0,World
Pod6,2019,textMarkup,2022,0,Unknown
Fuzuli,2012,pl,2020,0,Turkey
Topaz,2021,pl,2021,0,Unknown
concurnas,2018,pl,2018,0,England
PML,1986,textMarkup,1986,0,Unknown
tremor-query,2019,queryLanguage,2019,0,World
Austral,2018,pl,2023,0,World
Turbo-Basic XL,1985,pl,2005,0,World
stoneknifeforth,2008,pl,2022,0,World
minikanren,2013,pl,2022,0,United States
PTX,2009,assembly,2009,0,World
FL,1989,pl,2004,0,United States
Jeeves,2013,pl,2018,0,United States
MAGMA,1993,pl,2022,0,Australia
TAL,2008,pl,2008,0,World
ASIC,1992,pl,2005,0,United States
Zeek,1994,pl,2022,17,World
infusion-framework,2007,framework,2022,0,Various
buzz,2021,pl,2022,0,France
Pyrex,2002,pl,2005,0,New Zealand
AUTOCODER,1955,assembly,2005,0,United States
ulisp,2016,pl,2022,0,World
KUKA Robot Language,2010,pl,2016,0,Germany
Structured Query Reporter,1980,pl,2005,0,World
orange,2014,pl,2018,0,United States
reforth,2013,pl,2022,0,Unknown
Heron,2016,pl,2022,0,Canada
taf,2012,pl,2022,0,World
Blacklight,2015,pl,2022,0,Unknown
jiyu,2019,pl,2020,0,Unknown
gura,2012,pl,2022,0,Japan
Visual Tool Markup Language,1997,pl,2006,0,World
CEEMAC,1980,pl,2011,0,United States
swizzle,2018,esolang,2022,0,World
hoon,2011,pl,2011,3,Unknown
Filterscript,2012,pl,2012,0,World
xTAO Modeling Language,2005,xmlFormat,2005,0,World
MessagePack,2009,binaryDataFormat,2022,0,Various
t2b,2018,pl,2022,0,World
pipelines,2018,pl,2022,0,United States
Links,2006,pl,2022,0,United Kingdom and France
multibase,2016,standard,2022,0,Various
Model 204,1972,pl,2004,0,United States
Matrix protocol,2014,protocol,2014,0,United States
Notation3,1998,dataNotation,2008,0,United States
Euclid,1970,pl,2004,0,Canada
Semantic Web Rule Language,2004,xmlFormat,2005,0,World
OK,2021,pl,2022,0,Australia
ELFE,2003,pl,2021,0,France
Parlog,1983,pl,2011,0,United Kingdom
CSpydr,2021,pl,2022,0,Germany
Ripple,2014,pl,2017,0,Japan
maraca-lang,2018,pl,2021,0,United Kingdom
Ook,2005,esolang,2005,0,Australia
Data Communications ALGOL,1970,pl,1970,0,World
jcard,2014,jsonFormat,2014,0,United States
jplace,2012,jsonFormat,2012,0,United States and Germany
Reactive Plan Language,1993,pl,1993,0,World
GorillaScript,2013,pl,2013,0,United States
baysick,2009,esolang,2022,0,United States
C/AL,1987,pl,2007,0,United States
HyTime,1991,pl,2005,0,Switzerland and United Kingdom
Linden Scripting Language,2003,pl,2004,0,United States
PLEX,1975,pl,2009,0,Sweden
datafun,2015,pl,2022,0,United Kingdom and Canada
son,2017,textMarkup,2022,0,World
GEORGE,1957,pl,2012,0,Australia
Matrix Market Coordinate Format,1996,textDataFormat,2010,0,United States
